


"COTTON-UP (Including Form G Cotton) in All States, Crop Year 2024"
State,Commodity,Unit of Measure,Crop Year,Maturity Date,Outstanding Count,Outstanding Quantity,Outstanding Amount ($)
AL,COTTON-UP,Bales,2024,"Aug, 2025",0,"2,739.00","724,660.47"
AL,COTTON-UP,Bales,2024,"Sep, 2025",0,"2,791.00","730,815.18"
AL,COTTON-UP,Bales,2024,"Oct, 2025",0,"1,195.00","296,576.44"
AL,COTTON-UP,Bales,2024,"Nov, 2025",0,145.00,"34,573.42"
AL,COTTON-UP,Bales,2024,"Dec, 2025",0,93.00,"21,277.38"
AZ,COTTON-UP,Bales,2024,"Aug, 2025",0,277.00,"73,485.64"
AZ,COTTON-UP,Bales,2024,"Sep, 2025",0,"14,279.00","3,995,046.41"
AZ,COTTON-UP,Bales,2024,"Oct, 2025",0,"29,953.00","8,336,276.15"
AZ,COTTON-UP,Bales,2024,"Nov, 2025",0,"11,968.00","3,337,006.34"
AZ,COTTON-UP,Bales,2024,"Dec, 2025",0,"12,142.00","3,258,756.46"
AZ,COTTON-UP,Bales,2024,"Jan, 2026",0,160.00,"42,548.90"
AR,COTTON-UP,Bales,2024,"Aug, 2025",69,"52,380.00","13,839,800.62"
AR,COTTON-UP,Bales,2024,"Sep, 2025",51,"45,393.00","11,842,386.66"
AR,COTTON-UP,Bales,2024,"Oct, 2025",95,"25,209.00","6,552,540.10"
AR,COTTON-UP,Bales,2024,"Nov, 2025",2,"3,426.00","869,713.36"
AR,COTTON-UP,Bales,2024,"Dec, 2025",2,"1,242.00","317,678.60"
CA,COTTON-UP,Bales,2024,"Aug, 2025",0,438.00,"116,786.09"
CA,COTTON-UP,Bales,2024,"Sep, 2025",0,"6,957.00","1,874,638.97"
CA,COTTON-UP,Bales,2024,"Oct, 2025",0,"18,661.00","5,099,097.53"
CA,COTTON-UP,Bales,2024,"Nov, 2025",0,"5,890.00","1,447,857.06"
CA,COTTON-UP,Bales,2024,"Dec, 2025",0,34.00,"8,764.09"
CA,COTTON-UP,Bales,2024,"Feb, 2026",0,163.00,"46,190.95"
FL,COTTON-UP,Bales,2024,"Aug, 2025",0,"1,641.00","436,760.12"
FL,COTTON-UP,Bales,2024,"Sep, 2025",0,441.00,"109,936.79"
FL,COTTON-UP,Bales,2024,"Oct, 2025",0,507.00,"125,464.69"
FL,COTTON-UP,Bales,2024,"Nov, 2025",0,27.00,"6,982.32"
GA,COTTON-UP,Bales,2024,"Aug, 2025",0,"11,754.00","3,142,536.91"
GA,COTTON-UP,Bales,2024,"Sep, 2025",0,"14,330.00","3,745,097.32"
