


"All Commodities (Including Form G Cotton) in All States, All Crop Years"
State,Commodity,Unit of Measure,Crop Year,Maturity Date,Outstanding Count,Outstanding Quantity,Outstanding Amount ($)
AL,CORN,Bushels,2019,"Feb, 2021",1,"23,208.00","55,467.11"
AL,CORN,Bushels,2023,"Oct, 2024",3,"40,500.00","96,390.00"
AL,CORN,Bushels,2024,"Jul, 2025",1,"39,000.00","93,210.00"
AL,CORN,Bushels,2024,"Aug, 2025",1,"59,625.00","142,503.75"
AL,CORN,Bushels,2024,"Sep, 2025",1,"94,000.00","224,660.00"
AL,CORN,Bushels,2024,"Oct, 2025",1,"52,302.00","125,001.78"
AL,CORN,Bushels,2024,"Jan, 2026",1,"46,809.00","111,873.51"
AL,PEANUTS,Tons,2024,"Aug, 2025",3,489.99,"164,777.31"
AL,PEANUTS,Tons,2024,"Sep, 2025",10,"3,541.07","1,210,166.91"
AL,PEANUTS,Tons,2024,"Oct, 2025",12,"1,183.61","405,114.51"
AL,PEANUTS,Tons,2024,"Nov, 2025",4,"7,469.49","2,646,664.42"
AL,COTTON-UP,Bales,2024,"Aug, 2025",0,"2,739.00","724,660.47"
AL,COTTON-UP,Bales,2024,"Sep, 2025",0,"2,791.00","730,815.18"
AL,COTTON-UP,Bales,2024,"Oct, 2025",0,"1,195.00","296,576.44"
AL,COTTON-UP,Bales,2024,"Nov, 2025",0,145.00,"34,573.42"
AL,COTTON-UP,Bales,2024,"Dec, 2025",0,93.00,"21,277.38"
AZ,COTTON-ELS,Bales,2024,"Aug, 2025",0,68.00,"30,512.32"
AZ,COTTON-ELS,Bales,2024,"Sep, 2025",0,61.00,"26,314.29"
AZ,COTTON-ELS,Bales,2024,"Oct, 2025",0,158.00,"68,319.28"
AZ,COTTON-ELS,Bales,2024,"Nov, 2025",0,996.00,"473,711.64"
AZ,COTTON-ELS,Bales,2024,"Dec, 2025",0,"1,216.00","570,525.25"
AZ,COTTON-ELS,Bales,2024,"Jan, 2026",0,"1,144.00","534,355.46"
AZ,COTTON-ELS,Bales,2024,"Feb, 2026",0,593.00,"278,432.06"
AZ,COTTON-UP,Bales,2024,"Aug, 2025",0,277.00,"73,485.64"
AZ,COTTON-UP,Bales,2024,"Sep, 2025",0,"14,279.00","3,995,046.41"
AZ,COTTON-UP,Bales,2024,"Oct, 2025",0,"29,953.00","8,336,276.15"
AZ,COTTON-UP,Bales,2024,"Nov, 2025",0,"11,968.00","3,337,006.34"
AZ,COTTON-UP,Bales,2024,"Dec, 2025",0,"12,142.00","3,258,756.46"
AZ,COTTON-UP,Bales,2024,"Jan, 2026",0,160.00,"42,548.90"
AR,CORN,Bushels,2024,"Jul, 2025",3,"194,000.00","455,900.00"
AR,CORN,Bushels,2024,"Aug, 2025",1,"96,000.00","225,600.00"
AR,SOYBEANS,Bushels,2024,"Aug, 2025",5,"110,409.00","698,761.04"
AR,SOYBEANS,Bushels,2024,"Nov, 2025",2,"50,000.00","319,000.00"
AR,SOYBEANS,Bushels,2024,"Jan, 2026",1,"8,879.00","55,937.70"
AR,PEANUTS,Tons,2024,"Sep, 2025",21,"18,376.55","6,204,970.67"
AR,PEANUTS,Tons,2024,"Oct, 2025",11,"5,655.80","1,892,654.35"
AR,COTTON-ELS,Bales,2024,"Sep, 2025",0,89.00,"41,839.44"
AR,COTTON-UP,Bales,2024,"Aug, 2025",69,"52,380.00","13,839,800.62"
AR,COTTON-UP,Bales,2024,"Sep, 2025",51,"45,393.00","11,842,386.66"
AR,COTTON-UP,Bales,2024,"Oct, 2025",95,"25,209.00","6,552,540.10"
AR,COTTON-UP,Bales,2024,"Nov, 2025",2,"3,426.00","869,713.36"
AR,COTTON-UP,Bales,2024,"Dec, 2025",2,"1,242.00","317,678.60"
AR,RICE-ROUGH,Cwt.,2024,"Jun, 2025",1,"16,200.00","113,562.00"
AR,RICE-ROUGH,Cwt.,2024,"Jul, 2025",27,"723,338.00","5,070,494.18"
AR,RICE-ROUGH,Cwt.,2024,"Aug, 2025",50,"819,049.00","5,741,064.86"
AR,RICE-ROUGH,Cwt.,2024,"Sep, 2025",46,"597,743.00","4,190,057.78"
AR,RICE-ROUGH,Cwt.,2024,"Oct, 2025",24,"2,342,939.00","15,944,002.41"
AR,RICE-ROUGH,Cwt.,2024,"Nov, 2025",27,"540,765.00","3,790,555.30"
AR,RICE-ROUGH,Cwt.,2024,"Dec, 2025",16,"278,207.00","1,950,231.10"
AR,RICE-ROUGH,Cwt.,2024,"Jan, 2026",26,"603,806.00","4,232,680.28"
AR,RICE-ROUGH,Cwt.,2024,"Feb, 2026",3,"125,220.00","877,792.24"
CA,WHEAT,Bushels,2024,"Oct, 2025",1,"30,000.00","99,600.00"
CA,COTTON-ELS,Bales,2024,"Aug, 2025",0,"16,827.00","7,787,380.89"
CA,COTTON-ELS,Bales,2024,"Sep, 2025",0,"26,714.00","12,337,309.39"
CA,COTTON-ELS,Bales,2024,"Oct, 2025",0,"13,029.00","6,044,938.82"
CA,COTTON-ELS,Bales,2024,"Nov, 2025",0,"2,133.00","938,235.18"
CA,COTTON-ELS,Bales,2024,"Dec, 2025",0,187.00,"67,655.52"
CA,COTTON-UP,Bales,2024,"Aug, 2025",0,438.00,"116,786.09"
CA,COTTON-UP,Bales,2024,"Sep, 2025",0,"6,957.00","1,874,638.97"
CA,COTTON-UP,Bales,2024,"Oct, 2025",0,"18,661.00","5,099,097.53"
CA,COTTON-UP,Bales,2024,"Nov, 2025",0,"5,890.00","1,447,857.06"
CA,COTTON-UP,Bales,2024,"Dec, 2025",0,34.00,"8,764.09"
CA,COTTON-UP,Bales,2024,"Feb, 2026",0,163.00,"46,190.95"
CA,HONEY,Pounds,2021,"Jul, 2022",1,"30,550.00","21,079.50"
CA,HONEY,Pounds,2021,"Sep, 2022",1,"13,200.00","9,108.00"
CA,RICE-ROUGH,Cwt.,2024,"Jul, 2025",4,"15,263.22","105,767.33"
CA,RICE-ROUGH,Cwt.,2024,"Aug, 2025",21,"369,391.74","2,536,612.45"
CA,RICE-ROUGH,Cwt.,2024,"Sep, 2025",16,"151,375.62","1,037,039.81"
CA,RICE-ROUGH,Cwt.,2024,"Oct, 2025",17,"74,787.08","495,747.68"
CA,RICE-ROUGH,Cwt.,2024,"Jan, 2026",1,"2,767.73","17,962.57"
CO,WHEAT,Bushels,2024,"Sep, 2025",2,"33,500.00","108,180.00"
CO,WHEAT,Bushels,2024,"Oct, 2025",1,"27,000.00","85,050.00"
CO,WHEAT,Bushels,2024,"Jan, 2026",1,"17,000.00","54,400.00"
