


"COTTON-UP (Including Form G Cotton) in All States, Crop Year 2025"
State,Commodity,Unit of Measure,Crop Year,Maturity Date,Outstanding Count,Outstanding Quantity,Outstanding Amount ($)
AL,COTTON-UP,Bales,2025,"Aug, 2026",3,"102,853.00","27,615,638.04"
AL,COTTON-UP,Bales,2025,"Sep, 2026",14,"70,092.00","18,749,555.97"
AL,COTTON-UP,Bales,2025,"Oct, 2026",20,"21,413.00","5,638,175.90"
AZ,COTTON-UP,Bales,2025,"Jun, 2026",0,92.00,"25,321.85"
AZ,COTTON-UP,Bales,2025,"Aug, 2026",0,"21,353.00","5,795,244.14"
AZ,COTTON-UP,Bales,2025,"Sep, 2026",0,"44,542.00","11,980,959.54"
AZ,COTTON-UP,Bales,2025,"Oct, 2026",0,"49,494.00","13,160,944.09"
AR,COTTON-UP,Bales,2025,"Jun, 2026",0,"3,237.00","863,387.94"
AR,COTTON-UP,Bales,2025,"Aug, 2026",195,"715,676.00","186,416,407.52"
AR,COTTON-UP,Bales,2025,"Sep, 2026",172,"316,787.00","81,970,129.35"
AR,COTTON-UP,Bales,2025,"Oct, 2026",109,"53,747.00","14,020,754.00"
CA,COTTON-UP,Bales,2025,"Aug, 2026",0,"19,081.00","5,320,229.03"
CA,COTTON-UP,Bales,2025,"Sep, 2026",0,"19,623.00","5,298,283.54"
CA,COTTON-UP,Bales,2025,"Oct, 2026",0,"17,362.00","4,604,861.13"
FL,COTTON-UP,Bales,2025,"Aug, 2026",0,"19,758.00","5,206,711.02"
FL,COTTON-UP,Bales,2025,"Sep, 2026",0,"21,444.00","5,629,609.36"
FL,COTTON-UP,Bales,2025,"Oct, 2026",0,"11,168.00","2,939,410.55"
GA,COTTON-UP,Bales,2025,"Aug, 2026",0,"165,162.00","44,193,021.63"
GA,COTTON-UP,Bales,2025,"Sep, 2026",22,"240,910.00","64,728,547.91"
GA,COTTON-UP,Bales,2025,"Oct, 2026",4,"102,226.00","27,139,057.91"
KS,COTTON-UP,Bales,2025,"Aug, 2026",0,"1,541.00","391,590.86"
KS,COTTON-UP,Bales,2025,"Sep, 2026",0,"19,923.00","4,875,933.53"
KS,COTTON-UP,Bales,2025,"Oct, 2026",0,"17,900.00","4,184,665.36"
LA,COTTON-UP,Bales,2025,"Jun, 2026",13,"8,758.00","2,336,761.50"
LA,COTTON-UP,Bales,2025,"Jul, 2026",3,90.00,"23,790.56"
LA,COTTON-UP,Bales,2025,"Aug, 2026",60,"90,291.00","24,217,253.39"
LA,COTTON-UP,Bales,2025,"Sep, 2026",42,"25,504.00","6,830,455.41"
LA,COTTON-UP,Bales,2025,"Oct, 2026",9,"1,605.00","444,881.35"
MS,COTTON-UP,Bales,2025,"Jun, 2026",0,"5,041.00","1,302,822.58"
MS,COTTON-UP,Bales,2025,"Aug, 2026",88,"439,566.00","114,321,447.60"
MS,COTTON-UP,Bales,2025,"Sep, 2026",72,"76,058.00","19,857,068.21"
MS,COTTON-UP,Bales,2025,"Oct, 2026",20,"25,639.00","6,633,881.63"
MO,COTTON-UP,Bales,2025,"Aug, 2026",1,"372,760.00","97,859,711.07"
MO,COTTON-UP,Bales,2025,"Sep, 2026",0,"210,731.00","54,742,525.83"
MO,COTTON-UP,Bales,2025,"Oct, 2026",0,"80,594.00","21,211,365.06"
NM,COTTON-UP,Bales,2025,"Aug, 2026",0,719.00,"196,511.64"
NM,COTTON-UP,Bales,2025,"Sep, 2026",0,"5,628.00","1,512,375.66"
NM,COTTON-UP,Bales,2025,"Oct, 2026",0,"5,213.00","1,369,017.52"
NC,COTTON-UP,Bales,2025,"Aug, 2026",0,"81,086.00","22,054,577.26"
NC,COTTON-UP,Bales,2025,"Sep, 2026",12,"86,982.00","23,552,031.98"
NC,COTTON-UP,Bales,2025,"Oct, 2026",12,"23,961.00","6,432,081.27"
OK,COTTON-UP,Bales,2025,"Aug, 2026",0,"12,259.00","3,386,356.63"
OK,COTTON-UP,Bales,2025,"Sep, 2026",0,"49,826.00","13,511,477.19"
OK,COTTON-UP,Bales,2025,"Oct, 2026",0,"47,600.00","12,717,248.12"
SC,COTTON-UP,Bales,2025,"Aug, 2026",0,"47,410.00","12,526,430.47"
SC,COTTON-UP,Bales,2025,"Sep, 2026",2,"93,440.00","24,910,475.67"
SC,COTTON-UP,Bales,2025,"Oct, 2026",39,"34,357.00","9,180,186.87"
TN,COTTON-UP,Bales,2025,"Aug, 2026","1,406","224,067.00","59,059,835.62"
TN,COTTON-UP,Bales,2025,"Sep, 2026",283,"66,817.00","17,752,860.14"
TN,COTTON-UP,Bales,2025,"Oct, 2026",65,"7,058.00","1,866,896.67"
TX,COTTON-UP,Bales,2025,"May, 2026",0,"19,748.00","5,397,343.64"
TX,COTTON-UP,Bales,2025,"Jun, 2026",0,"108,370.00","29,575,543.72"
TX,COTTON-UP,Bales,2025,"Aug, 2026",0,"526,108.00","142,720,874.64"
TX,COTTON-UP,Bales,2025,"Sep, 2026",29,"805,043.00","218,185,012.83"
TX,COTTON-UP,Bales,2025,"Oct, 2026",27,"388,819.00","103,963,433.13"
VA,COTTON-UP,Bales,2025,"Aug, 2026",0,"4,600.00","1,233,686.30"
VA,COTTON-UP,Bales,2025,"Sep, 2026",4,"9,151.00","2,484,962.91"
VA,COTTON-UP,Bales,2025,"Oct, 2026",2,"2,667.00","733,391.13"
